127.0.0.1 - - [07/Sep/2023:09:35:59 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:44:02 +0900] "GET /Student/Shopping?command=prList&mode=company&keyword=%EB%B9%B5 HTTP/1.1" 200 9715
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:44:02 +0900] "GET /Student/upload/cappuccino01.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:44:02 +0900] "GET /Student/upload/americano01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:44:02 +0900] "GET /Student/upload/brioche_01.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:44:02 +0900] "GET /Student/Shopping?command=prList&mode=company&keyword=%EB%B9%B5 HTTP/1.1" 200 9715
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:44:02 +0900] "GET /Student/upload/cappuccino01.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:44:02 +0900] "GET /Student/upload/americano01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:44:02 +0900] "GET /Student/upload/brioche_01.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:44:03 +0900] "GET /Student/Shopping?command=prList&mode=company&keyword=%EB%B9%B5 HTTP/1.1" 200 9715
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:44:03 +0900] "GET /Student/upload/cappuccino01.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:44:03 +0900] "GET /Student/upload/americano01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:44:03 +0900] "GET /Student/upload/brioche_01.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:44:04 +0900] "GET /Student/Shopping?command=prList HTTP/1.1" 200 12809
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:44:04 +0900] "GET /Student/upload/americano01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:44:04 +0900] "GET /Student/upload/cappuccino01.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:44:06 +0900] "GET /Student/Shopping?command=prList&mode=company&keyword=%EA%B4%80%EB%A6%AC%EC%9E%90 HTTP/1.1" 200 6832
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:01:16 +0900] "GET /Student/Shopping?command=meLogin HTTP/1.1" 200 4705
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:01:17 +0900] "POST /Student/Shopping HTTP/1.1" 200 5255
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:01:21 +0900] "GET /Student/Shopping?command=meList HTTP/1.1" 200 10072
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:01:23 +0900] "GET /Student/Shopping?command=boList HTTP/1.1" 200 11789
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:01:24 +0900] "GET /Student/Shopping?command=prList HTTP/1.1" 200 14135
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:01:24 +0900] "GET /Student/upload/americano01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:01:24 +0900] "GET /Student/upload/cappuccino01.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:05:39 +0900] "GET /Student/Shopping?command=prList&mode=company&keyword=%EA%B4%80%EB%A6%AC%EC%9E%90 HTTP/1.1" 200 7008
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:05:46 +0900] "GET /Student/Shopping?command=prList&mode=category&keyword=%EA%B4%80%EB%A6%AC%EC%9E%90 HTTP/1.1" 200 7008
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:06:46 +0900] "GET /Student/Shopping?command=prList&mode=category&keyword=%EA%B4%80%EB%A6%AC%EC%9E%90 HTTP/1.1" 200 7007
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:06:47 +0900] "GET /Student/Shopping?command=prList&mode=category&keyword=%EA%B4%80%EB%A6%AC%EC%9E%90 HTTP/1.1" 200 7007
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:06:48 +0900] "GET /Student/Shopping?command=prList&mode=category&keyword=%EA%B4%80%EB%A6%AC%EC%9E%90 HTTP/1.1" 200 7007
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:06:49 +0900] "GET /Student/Shopping?command=prList&mode=category&keyword=%EA%B4%80%EB%A6%AC%EC%9E%90 HTTP/1.1" 200 7007
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:06:52 +0900] "GET /Student/Shopping?command=prList&mode=company&keyword=%EA%B4%80%EB%A6%AC%EC%9E%90 HTTP/1.1" 200 7006
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:06:52 +0900] "GET /Student/Shopping?command=prList&mode=company&keyword=%EA%B4%80%EB%A6%AC%EC%9E%90 HTTP/1.1" 200 7006
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:06:53 +0900] "GET /Student/Shopping?command=prList&mode=company&keyword=%EA%B4%80%EB%A6%AC%EC%9E%90 HTTP/1.1" 200 7006
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:06:58 +0900] "GET /Student/Shopping?command=prList&mode=company&keyword=%EA%B4%80%EB%A6%AC%EC%9E%90 HTTP/1.1" 200 7006
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:06:59 +0900] "GET /Student/Shopping?command=prList&mode=company&keyword=%EA%B4%80%EB%A6%AC%EC%9E%90 HTTP/1.1" 200 7006
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:06:59 +0900] "GET /Student/Shopping?command=prList&mode=company&keyword=%EA%B4%80%EB%A6%AC%EC%9E%90 HTTP/1.1" 200 7006
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:07:00 +0900] "GET /Student/Shopping?command=prList&mode=company&keyword=%EA%B4%80%EB%A6%AC%EC%9E%90 HTTP/1.1" 200 7006
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:07:01 +0900] "GET /Student/Shopping?command=prList HTTP/1.1" 200 14122
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:07:01 +0900] "GET /Student/upload/cappuccino01.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:07:01 +0900] "GET /Student/upload/americano01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:07:02 +0900] "GET /Student/Shopping?command=prList&mode=all&keyword= HTTP/1.1" 200 14122
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:07:02 +0900] "GET /Student/upload/americano01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:07:02 +0900] "GET /Student/upload/cappuccino01.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:07:02 +0900] "GET /Student/Shopping?command=prList HTTP/1.1" 200 14122
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:07:02 +0900] "GET /Student/upload/cappuccino01.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:07:02 +0900] "GET /Student/upload/americano01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:08:04 +0900] "GET /Student/Shopping?command=prList&mode=all&keyword= HTTP/1.1" 200 14156
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:08:04 +0900] "GET /Student/upload/cappuccino01.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:08:04 +0900] "GET /Student/upload/americano01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:08:04 +0900] "GET /Student/Shopping?command=prList&mode=all&keyword= HTTP/1.1" 200 14156
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:08:04 +0900] "GET /Student/upload/americano01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:08:04 +0900] "GET /Student/upload/cappuccino01.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:08:04 +0900] "GET /Student/Shopping?command=prList&mode=all&keyword= HTTP/1.1" 200 14156
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:08:04 +0900] "GET /Student/upload/cappuccino01.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:08:04 +0900] "GET /Student/upload/americano01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:12:06 +0900] "GET /Student/Shopping?command=meList HTTP/1.1" 200 10556
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:12:17 +0900] "GET /Student/Shopping?command=meList HTTP/1.1" 200 10567
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:12:28 +0900] "GET /Student/Shopping?command=meList HTTP/1.1" 200 10567
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:12:30 +0900] "GET /Student/Shopping?command=meList HTTP/1.1" 200 10567
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:12:31 +0900] "GET /Student/Shopping?command=meList HTTP/1.1" 200 10567
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:12:38 +0900] "GET /Student/Shopping?command=meList HTTP/1.1" 200 12307
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:12:51 +0900] "GET /Student/Shopping?command=meList HTTP/1.1" 200 12245
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:13:14 +0900] "GET /Student/Shopping?command=meList HTTP/1.1" 200 12212
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:13:21 +0900] "GET /Student/Shopping?command=meList HTTP/1.1" 200 12245
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:13:34 +0900] "GET /Student/Shopping?command=meList HTTP/1.1" 200 12086
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:13:37 +0900] "GET /Student/js/bootstrap.bundle.min.js.map HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:13:37 +0900] "GET /Student/css/bootstrap.min.css.map HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:14:04 +0900] "GET /Student/Shopping?command=meList HTTP/1.1" 200 12086
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:14:14 +0900] "GET /Student/Shopping?command=meList HTTP/1.1" 200 12085
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:18:45 +0900] "GET /Student/Shopping?command=meList HTTP/1.1" 500 1744
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:19:30 +0900] "GET /Student/Shopping?command=prList&mode=all&keyword= HTTP/1.1" 200 12534
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:19:30 +0900] "GET /Student/upload/cappuccino01.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:19:30 +0900] "GET /Student/upload/americano01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:19:30 +0900] "GET /Student/Shopping?command=prList&mode=all&keyword= HTTP/1.1" 200 12534
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:19:30 +0900] "GET /Student/upload/cappuccino01.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:19:30 +0900] "GET /Student/upload/americano01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:19:31 +0900] "GET /Student/Shopping?command=meLogin HTTP/1.1" 200 4705
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:19:32 +0900] "POST /Student/Shopping HTTP/1.1" 200 5255
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:19:36 +0900] "GET /Student/Shopping?command=meList HTTP/1.1" 200 12086
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:19:42 +0900] "GET /Student/Shopping?command=prList&mode=name&keyword=zx HTTP/1.1" 200 7029
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:24:15 +0900] "GET /Student/Shopping?command=prList&mode=name&keyword=zx HTTP/1.1" 200 7029
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:24:43 +0900] "GET /Student/Shopping?command=meDetail&id=admin HTTP/1.1" 200 4744
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:24:46 +0900] "GET /Student/Shopping?command=meList HTTP/1.1" 200 12086
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:24:54 +0900] "GET /Student/Shopping?command=prList&mode=gender&keyword=%EB%82%A8 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:26:33 +0900] "GET /Student/Shopping?command=prList&mode=gender&keyword=z HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:26:40 +0900] "GET /Student/Shopping?command=prList&mode=all&keyword=z HTTP/1.1" 200 14167
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:26:40 +0900] "GET /Student/upload/cappuccino01.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:26:40 +0900] "GET /Student/upload/americano01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:26:58 +0900] "GET /Student/Shopping?command=meList HTTP/1.1" 200 12086
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:26:59 +0900] "GET /Student/Shopping?command=meList HTTP/1.1" 200 12086
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:26:59 +0900] "GET /Student/Shopping?command=meList HTTP/1.1" 200 12086
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:27:04 +0900] "GET /Student/Shopping?command=meList&mode=name&keyword=z HTTP/1.1" 200 12110
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:27:10 +0900] "GET /Student/Shopping?command=meList&mode=id&keyword=cc HTTP/1.1" 200 6591
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:27:13 +0900] "GET /Student/Shopping?command=meList&mode=id&keyword=c HTTP/1.1" 200 12086
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:27:32 +0900] "GET /Student/Shopping?command=prList HTTP/1.1" 200 14155
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:27:32 +0900] "GET /Student/upload/americano01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:27:32 +0900] "GET /Student/upload/cappuccino01.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:27:35 +0900] "GET /Student/Shopping?command=prList&mode=category&keyword=be HTTP/1.1" 200 11519
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:27:35 +0900] "GET /Student/upload/cappuccino01.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:27:35 +0900] "GET /Student/upload/americano01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:27:59 +0900] "GET /Student/Shopping?command=prList&mode=category&keyword=be HTTP/1.1" 200 11519
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:27:59 +0900] "GET /Student/upload/americano01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:27:59 +0900] "GET /Student/upload/cappuccino01.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:28:01 +0900] "GET /Student/Shopping?command=meList HTTP/1.1" 200 12086
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:28:03 +0900] "GET /Student/Shopping?command=meList&mode=name&keyword=9 HTTP/1.1" 200 12110
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:30:48 +0900] "GET /Student/Shopping?command=meDetail&id=zxcv99 HTTP/1.1" 200 4743
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:30:55 +0900] "GET /Student/Shopping?command=prList HTTP/1.1" 200 14108
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:30:55 +0900] "GET /Student/upload/americano01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:30:55 +0900] "GET /Student/upload/cappuccino01.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:36:17 +0900] "GET /Student/Shopping?command=prList HTTP/1.1" 200 13923
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:36:17 +0900] "GET /Student/upload/cappuccino01.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:36:17 +0900] "GET /Student/upload/americano01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:36:18 +0900] "GET /Student/Shopping?command=prList HTTP/1.1" 200 13923
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:36:18 +0900] "GET /Student/upload/cappuccino01.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:36:18 +0900] "GET /Student/upload/americano01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:36:19 +0900] "GET /Student/Shopping?command=prList HTTP/1.1" 200 13923
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:36:19 +0900] "GET /Student/upload/americano01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:36:19 +0900] "GET /Student/upload/cappuccino01.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:36:19 +0900] "GET /Student/Shopping?command=prList HTTP/1.1" 200 13923
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:36:19 +0900] "GET /Student/upload/cappuccino01.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:36:19 +0900] "GET /Student/upload/americano01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:36:22 +0900] "GET /Student/Shopping?command=prList&mode=company&keyword=%EA%B4%80%EB%A6%AC%EC%9E%90 HTTP/1.1" 200 6807
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:36:23 +0900] "GET /Student/Shopping?command=prList HTTP/1.1" 200 13923
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:36:23 +0900] "GET /Student/upload/americano01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:36:23 +0900] "GET /Student/upload/cappuccino01.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:50:40 +0900] "GET /Student/Shopping?command=prList HTTP/1.1" 200 14563
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:50:40 +0900] "GET /Student/upload/cappuccino01.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:50:40 +0900] "GET /Student/upload/americano01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:50:52 +0900] "GET /Student/Shopping?command=prList HTTP/1.1" 200 14482
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:50:52 +0900] "GET /Student/upload/cappuccino01.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:50:52 +0900] "GET /Student/upload/americano01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:51:11 +0900] "GET /Student/Shopping?command=prList HTTP/1.1" 200 14396
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:51:11 +0900] "GET /Student/upload/americano01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:51:11 +0900] "GET /Student/upload/cappuccino01.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:51:18 +0900] "GET /Student/Shopping?command=prList HTTP/1.1" 200 14563
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:51:18 +0900] "GET /Student/upload/americano01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:51:18 +0900] "GET /Student/upload/cappuccino01.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:51:36 +0900] "GET /Student/Shopping?command=prList HTTP/1.1" 200 14562
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:51:36 +0900] "GET /Student/upload/americano01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:51:36 +0900] "GET /Student/upload/cappuccino01.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:51:37 +0900] "GET /Student/Shopping?command=prList HTTP/1.1" 200 14562
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:51:37 +0900] "GET /Student/upload/americano01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:51:37 +0900] "GET /Student/upload/cappuccino01.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:51:57 +0900] "GET /Student/Shopping?command=prList HTTP/1.1" 200 14529
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:51:57 +0900] "GET /Student/upload/americano01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:51:57 +0900] "GET /Student/upload/cappuccino01.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:51:57 +0900] "GET /Student/Shopping?command=prList HTTP/1.1" 200 14529
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:51:57 +0900] "GET /Student/upload/americano01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:51:57 +0900] "GET /Student/upload/cappuccino01.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:51:58 +0900] "GET /Student/Shopping?command=prList HTTP/1.1" 200 14529
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:51:58 +0900] "GET /Student/upload/americano01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:51:58 +0900] "GET /Student/upload/cappuccino01.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:51:58 +0900] "GET /Student/Shopping?command=prList HTTP/1.1" 200 14529
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:51:58 +0900] "GET /Student/upload/americano01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:51:58 +0900] "GET /Student/upload/cappuccino01.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:51:58 +0900] "GET /Student/Shopping?command=prList HTTP/1.1" 200 14529
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:51:58 +0900] "GET /Student/upload/cappuccino01.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:51:58 +0900] "GET /Student/upload/americano01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:51:58 +0900] "GET /Student/Shopping?command=prList HTTP/1.1" 200 14529
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:51:58 +0900] "GET /Student/upload/cappuccino01.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:51:58 +0900] "GET /Student/upload/americano01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:52:18 +0900] "GET /Student/Shopping?command=prList HTTP/1.1" 200 14529
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:52:18 +0900] "GET /Student/upload/americano01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:52:18 +0900] "GET /Student/upload/cappuccino01.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:52:20 +0900] "GET /Student/Shopping?command=prList HTTP/1.1" 200 14529
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:52:20 +0900] "GET /Student/upload/americano01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:52:20 +0900] "GET /Student/upload/cappuccino01.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:52:23 +0900] "GET /Student/Shopping?command=prList HTTP/1.1" 200 14529
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:52:23 +0900] "GET /Student/upload/cappuccino01.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:52:23 +0900] "GET /Student/upload/americano01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:52:23 +0900] "GET /Student/Shopping?command=boList&mode=all&keyword= HTTP/1.1" 200 11782
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:52:39 +0900] "GET /Student/Shopping?command=boList&mode=all&keyword= HTTP/1.1" 200 11782
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:52:40 +0900] "GET /Student/Shopping?command=prList HTTP/1.1" 200 14525
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:52:40 +0900] "GET /Student/upload/cappuccino01.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:52:40 +0900] "GET /Student/upload/americano01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:52:43 +0900] "GET /Student/Shopping?command=boList&mode=all&keyword= HTTP/1.1" 200 11782
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:53:09 +0900] "GET /Student/Shopping?command=prList HTTP/1.1" 200 14525
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:53:09 +0900] "GET /Student/upload/americano01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:53:09 +0900] "GET /Student/upload/cappuccino01.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:53:09 +0900] "GET /Student/Shopping?command=prList&mode=all&keyword= HTTP/1.1" 200 14525
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:53:09 +0900] "GET /Student/upload/cappuccino01.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:53:09 +0900] "GET /Student/upload/americano01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:53:47 +0900] "GET /Student/Shopping?command=prList&mode=all&keyword= HTTP/1.1" 200 14508
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:53:47 +0900] "GET /Student/upload/cappuccino01.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:53:47 +0900] "GET /Student/upload/americano01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:53:59 +0900] "GET /Student/Shopping?command=prList&mode=all&keyword= HTTP/1.1" 200 14495
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:53:59 +0900] "GET /Student/upload/americano01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:53:59 +0900] "GET /Student/upload/cappuccino01.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:54:02 +0900] "GET /Student/Shopping?command=prList&mode=all&keyword= HTTP/1.1" 200 14495
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:54:02 +0900] "GET /Student/upload/americano01.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [07/Sep/2023:12:54:02 +0900] "GET /Student/upload/cappuccino01.png HTTP/1.1" 404 846
